id,unit,name,start,end,agency,acres,cause
TUU-348,TULARE,WIGGLE,2008-07-01,7/2/2008,CDF,450,ARSON
LMU-2934,LASSEN,DIXIE,2008-07-02,7/4/2008,CDF,350,LIGHTNING
MEU-5102,MENDOCINO,ORR SPRINGS RD ORR 3,2008-07-03,7/3/2008,CDF,3000,LIGHTNING
MEU-5167,MENDOCINO,MONTGOMERY FLAT LIGHTNING,2008-07-04,7/15/2008,CDF,3000,LIGHTNING
MEU-5165,MENDOCINO,ORR SERIES LIGHTNING,2008-07-04,7/13/2008,CDF,3000,LIGHTNING
MEU-5159,MENDOCINO,ALBION LIGHTNING,2008-07-04,7/8/2008,CDF,3000,LIGHTNING
MEU-5132,MENDOCINO,BUTCH LIGHTNING,2008-07-04,7/4/2008,CDF,2800,LIGHTNING
MEU-5155,MENDOCINO,JACK SMITH LIGHTNING,2008-07-04,7/15/2008,CDF,2000,UI
MEU-5160,MENDOCINO,LOW GAP 1 LIGHTNING,2008-07-04,7/15/2008,CDF,1700,UI
MEU-5136,MENDOCINE,LOST PIPE LIGHTNING,2008-07-04,7/10/2008,CDF,1200,LIGHTNING
MEU-5164,MENDOCINO,HORSE LIGHTNING,2008-07-04,7/8/2008,CDF,1000,UI
MEU-5152,MENDOCINO,JAMESON LIGHTNING,2008-07-04,7/13/2008,CDF,925,LIGHTNING
MEU-5147,MENDOCINO,TRAVIS 3 LIGHTNING,2008-07-04,7/4/2008,CDF,750,LIGHTNING
MEU-5139,MENDOCINO,CASOOSE CREEK LIGHTNING,2008-07-04,7/4/2008,CDF,550,LIGHTNING
MEU-5170,MENDOCINO,BURGER CK LIGHTNING,2008-07-04,7/12/2008,CDF,528,LIGHTNING
MEU-5148,MENDOCINO,BRUSHY LIGHTNING,2008-07-04,7/15/2008,CDF,391,LIGHTNING
MEU-5227,MENDOCINO,TRAVIS 1 LIGHTNING,2008-07-05,7/5/2008,CDF,650,LIGHTNING
MEU-5277,MENDOCINO,ALDER CREEK BEACH,2008-07-07,7/7/2008,CDF,1000,LIGHTNING
MMU-9015,MERCED,DINO IC,2008-07-10,7/11/2008,CDF,800,UNDETERMINE
KNP-0020,FRESNO,TEHIPITE,2008-07-19,11/11/2008,NPS,11596,LIGHTNING
MMU-9594,MERCED,HWY 152 E/ROMERO VI 113,2008-07-21,7/22/2008,CDF,700,UNDETERMINE
KNF-3624,SISKIYOU,"PANTHER (transferred to the
Klamath Theater)",2008-07-24,9/30/2008,USFS,72344,LIGHTNING
PNF-0784,PLUMAS,RICH,2008-07-29,8/10/2008,USFS,6112,RAILROAD
BTU-9395,BUTTE,CRAIG,2008-08-03,8/11/2008,CDF,2001,UI
INF-0656,MONO,SHERWIN,2008-08-03,8/8/2008,USFS,300,HUMAN
BEU-3008,MONTEREY,TURKEY,2008-08-07,8/8/2008,CDF,400,POWER EQUIP
BTU-9807,BUTTE,CAMP ( BELDON & PIT),2008-08-13,8/13/2008,CDF,47647,LIGHTNING
BTU-9805,BUTTE,EMPIRE,2008-08-13,8/3/2008,CDF,2000,LIGHTNING
BTU-9802,BUTTE,RIM,2008-08-13,8/13/2008,CDF,1651,LIGHTNING
BTU-9818,BUTTE,SMOKEY,2008-08-13,8/13/2008,CDF,1324,LIGHTNING
TUU-485,TULARE,ELK,2008-08-14,8/15/2008,CDF,600,ARSON
TUU-488,TULARE,RODEO 2,2008-08-14,8/15/2008,CDF,500,UNDETERMINE
TUU-486,TULARE,RODEO,2008-08-14,8/14/2008,CDF,500,UNDETERMINE
BNP-437,SISKIYOU,JACK,2008-08-17,8/22/2008,NPS,6900,LIGHTNING
KNF-4096,SISKIYOU,SLINKARD,2008-08-17,8/21/2008,USFS,374,LIGHTNING
FKR-9403,FRESNO,AVENAL,2008-08-19,8/20/2008,CDF,946,UI
NEU-18862,PLACER,GLADDING,2008-09-01,9/3/2008,CDF,1000,UI
SHF-1944,SHASTA,GULCH,2008-09-07,9/11/2008,USFS,2847,EQUIP
SHF-1949,SHASTA,ELMORE,2008-09-07,9/9/2008,USFS,343,ARSON
HIA-220,HUMBOLDT,DEERHORN,2008-09-08,9/14/2008,USFS,381,UI
KNP-0035,TULARE,HIDDEN,2008-09-10,9/30/2008,NP,3668,LIGHTNING
LPF-2754,MONTEREY,CHALK,2008-09-25,10/29/2008,USFS,16269,MISC.
MCP-08-2515,SAN DIEGO,ROBLAR,2008-09-25,9/29/2008,MIL,400,MISC.
STF-2458,TUOLUMNE,DOME ROCK,2008-09-30,11/15/2008,USFS,919,LIGHTNING
MCP-2640,SAN DIEGO,NOVEMBER,2008-10-08,10/9/2008,MIL,1400,HUMAN
LNU-8342,NAPA,DEER,2008-10-10,10/14/2008,CDF,300,EQUIP
ANF-3833,LOS ANGELES,MAREK,2008-10-12,10/16/2008,USFS,4824,MISC.
MRN-2428,MARIN,ANGEL,2008-10-12,10/14/2008,CDF/CC,303,UI
LAC-8231953,LOS ANGELES,SESNON,2008-10-13,10/18/2008,CDF/CC,14703,UI
MCP-2699,SAN DIEGO,JULIETT,2008-10-13,10/17/2008,MIL,4026,UI
YNP-764,MARIPOSA,WAWONA NW,2008-10-14,10/19/2008,NP,450,HUMAN
BTU-12764,BUTTE,LACKERMAN,2008-10-23,10/23/2008,CDF,1310,LIGHTNING
BTU-12769,BUTTE,LONG,2008-10-23,10/23/2008,CDF,420,LIGHTNING
SBC-9981,SANTA BARBARA,TEA INCIDENT,2008-11-13,11/17/2008,CDF/CC,1940,CAMPFIRE
LFD-1460,LOS ANGELES,SAYRE,2008-11-14,11/21/2008,CDF/CC,11262,MISC.
RRU-99962,RIVERSIDE,FREEWAY,2008-11-15,11/22/2008,CDF,30305,MISC.
BDU-1287,SAN BERNARDINO,FORT,2009-02-05,2/7/2009,CAL FIRE,945,DEBRIS
LPF-1479,SANTA BARBARA,JESUSITA,2009-05-05,5/20/2009,USFS,8733,UI
SCU-2013,STANISLAUS,MUSTANG,2009-05-13,5/16/2009,CAL FIRE,570,DEBRIS
JTP-7519,RIVERSIDE,LOST HORSE,2009-05-24,5/26/2009,NPS,450,HUMAN
RRU-046619,RIVERSIDE,OLIVER,2009-05-27,5/27/2009,CAL FIRE,500,OTHER
TUU-126,TULARE,TUU LIGHTNING COMPLEX,2009-05-28,5/31/2009,CAL FIRE,485,LIGHTNING
YNP-1510,MARIPOSA,GROUSE,2009-05-30,7/13/2009,USFS,3047,LIGHTNING
YNP-1659,TUOLUMNE,HARDEN,2009-06-08,7/11/2009,USFS,1661,LIGHTNING
SQF-2025,TULARE,SHOTGUN,2009-06-17,7/11/2009,USFS,900,LIGHTNING
SCU-2565,SAN JOAQUIN,EXPLOSIVE,2009-06-19,6/19/2009,CAL FIRE,2163,EQUIPMENT
KRN-18041,KERN,PARKWAY,2009-06-22,6/22/2009,CAL FIRE/C,690,EQUIPMENT
TCU-5820,CALAVERAS,ROCK,2009-06-28,6/28/2009,CAL FIRE,410,POWERLINE
LNU-4337,YOLO,RUMSEY,2009-06-29,7/2/2009,CAL FIRE,716,UNDETERMINED
SQF-2139,TULARE,LION COMPLEX,2009-06-30,8/21/2009,USFS,3988,LIGHTNING
SRF-1131,TRINITY/HUMBOLDT,BACKBONE,2009-07-01,7/24/2009,USFS,6324,LIGHTNING
MCP-091662,SAN DIEGO,YANKEE,2009-07-11,7/14/2009,MIL,2200,UI
LPF-2787,VENTURA,SULPHUR,2009-07-11,7/13/2009,USFS,350,UI
ANF-2787,LOS  ANGELES,OSITO,2009-07-13,7/14/2009,USFS,304,UI
NEU-14435,PLACER,MAMMOTH,2009-07-16,7/18/2009,CAL FIRE,650,UI
INF-885,INYO,FORK,2009-07-18,7/27/2009,USFS,3268,UI
KNF-4692,SISKIYOU,TENNANT,2009-07-19,7/27/2009,USFS,3225,UI
STF-2207,TUOLUMNE,KNIGHT,2009-07-26,8/11/2009,USFS,6130,UI
MMU-10699,MADERA,ASH,2009-07-27,7/29/2009,CAL FIRE,300,EQUIPMENT
YNP-2968,TUOLUMNE,WILDCAT,2009-07-29,8/31/2009,USFS/NPS,1100,LIGHTNING
LNF-3923,SHASTA,HAT CREEK COMPLEX,2009-08-01,8/12/2009,USFS,11269,LIGHTNING
NOD-3703,LASSEN,W-4,2009-08-01,8/7/2009,BLM,1500,LIGHTNING
LPF-2536,MONTEREY,PONDEROSA,2009-08-01,8/7/2009,USFS,458,UI
LNP-3883,SHASTA,FAIRFIELD,2009-08-02,8/21/2009,USFS,1664,LIGHTNING
LNF-3874,SHASTA,BROWN (H-31)(Part of HAT CR,2009-08-02,8/12/2009,USFS,1000,LIGHTNING
SHU-5629,SHASTA,CHALK (SHU COMPLEX),2009-08-03,8/16/2009,CAL FIRE,6895,LIGHTNING
SHU-5652,SHASTA,CASSEL (SHU COMPLEX),2009-08-03,8/14/2009,CAL FIRE,6319,LIGHTNING
SHU-5639,SHASTA,GOOSE (SHU COMPLEX),2009-08-03,8/17/2009,CAL FIRE,3918,LIGHTNING
SHU-5641,SHASTA,GOMEZ (SHU COMPLEX),2009-08-03,8/17/2009,CAL FIRE,404,LIGHTNING
LPF-2631,SANTA BARBARA,LA BREA,2009-08-08,8/23/2009,USFS,89489,HUMAN
CZU-7246,SANTA CRUZ,LOCKHEED,2009-08-12,8/23/2009,CAL FIRE,7817,UI
SHU-5969,TRINITY,COFFIN,2009-08-12,8/15/2009,CAL FIRE,1300,HUMAN
SCU-3410,SAN JOAQUIN,CORRAL,2009-08-13,8/16/2009,CAL FIRE,12200,OTHER
NEU-16856,YUBA,YUBA,2009-08-14,8/24/2009,CAL FIRE,3891,UNDETERMINED
PNF-782,PLUMAS,ELEPHANT,2009-08-16,8/21/2009,USFS,448,UI
KNF-5754,SISKIYOU,RED ROCK,2009-08-21,9/4/2009,USFS,1364,HUMAN
ANF-3616,LOS ANGELES,MORRIS,2009-08-25,9/3/2009,USFS,2168,UI
ANF-3622,LOS ANGELES,STATION,2009-08-26,10/16/2009,USFS,160577,HUMAN
YNP-3660,MARIPOSA,BIG MEADOWS,2009-08-26,9/10/2009,USFS,7425,HUMAN
BEU-2816,MONTEREY,BRYSON,2009-08-26,8/29/2009,CAL FIRE,3383,STRUCTURE (EX
MCP-2601,SAN DIEGO,RIDGE,2009-08-26,8/29/2009,MIL,500,UI
BEU-2830,MONTEREY,GLORIA,2009-08-27,9/1/2009,CAL FIRE,6437,EQUIPMENT
BDF-11598,RIVERSIDE,COTTONWOOD,2009-08-27,8/31/2009,USFS,2409,UI
LMU-4366,LASSEN,DAY,2009-08-27,8/30/2009,CAL FIRE,853,UNDETERMINED
SCU-3627,SANTA CLARA,PACHECO,2009-08-29,8/30/2009,CAL FIRE,1600,EQUIPMENT
BDU-9598,SAN BERNARDINO,OAK GLEN III,2009-08-30,9/8/2009,CAL FIRE,1159,HUMAN
NEU-18111,PLACER,FORTY NINE,2009-08-30,9/1/2009,CAL FIRE,311,ARSON
BDU-9640,SAN BERNARDINO,PENDLETON,2009-08-31,9/4/2009,MIL,860,HUMAN
LNU-6597,LAKE,OASIS,2009-09-07,9/12/2009,CAL FIRE,1500,OPEN/OUTDOORS
RRU-82718,RIVERSIDE,VAIL,2009-09-19,9/20/2009,CAL FIRE,398,EQUIPMENT
PNF-961,PLUMAS,SILVER,2009-09-19,9/21/2009,USFS,307,UI
VNC-54871,VENTURA,GUIBERSON,2009-09-22,10/1/2009,CALFIRE/CC,17500,UI
BDU-10682,SAN BERNARDINO,CRAFTON,2009-09-23,9/26/2009,CALFIRE,347,UNDETERMINED
SQF-3728,TULARE,POWER,2009-09-27,9/29/2009,USFS,326,UI
LNU-7321,YOLO,SIX (not in nfirs),2009-10-01,10/1/2009,LOCAL,1235,UI
AFV-3254,VANDENBURG AFB,HIGHWAY,2009-10-01,10/3/2009,MIL,617,HUMAN
BDF-13278,SAN BERNARDINO,SHEEP,2009-10-03,10/10/2009,USFS,7128,UI
